budget,n,pass_rate,task_success_rate,n_browser_runs,parse_rate,mean_state_count,statecount_stability,mean_jaccard,reasoning_tok_mean,reasoning_measured,output_tok_mean,input_tok_mean,latency_mean,latency_median,latency_p95
0,12,0.9166666666666666,0.5,12,1.0,5.833333333333333,1.0,0.6794612794612794,,False,650.4545454545455,1164,3.076266666253408,3.048288583755493,3.905790328979492
512,12,0.8333333333333334,0.16666666666666666,12,1.0,6.416666666666667,0.3333333333333333,0.2405982905982906,437.46153846153845,True,1136.8461538461538,1088.6153846153845,5.586147646109263,5.672386407852173,6.299265623092651
2048,12,0.5,0.16666666666666666,12,0.8333333333333334,6.1,0.4,0.14924242424242423,1287.1666666666667,True,2047.3333333333333,1166.1666666666667,29.091142237186432,9.281113862991333,130.5630021095276
