budget,n,pass_rate,task_success_rate,n_browser_runs,parse_rate,mean_state_count,statecount_stability,mean_jaccard,reasoning_tok_mean,reasoning_measured,output_tok_mean,input_tok_mean,latency_mean,latency_median,latency_p95
0,10,1.0,1.0,10,1.0,3,1.0,0.9,,False,284.8,1052.6,1.5273245811462401,1.4959826469421387,1.833078384399414
512,10,1.0,1.0,10,1.0,3.1,0.8,0.67,411.9,True,712.9,1052.6,3.6212639570236207,3.8360930681228638,4.16960072517395
2048,10,1.0,0.9,10,1.0,2.8,1.0,0.64,874.7,True,1146.1,1052.6,5.482454466819763,4.94702935218811,8.10691237449646
dynamic,10,1.0,0.8,10,1.0,3.3,0.8,0.6366666666666667,753.6,True,1076.3,1052.6,5.1313026428222654,5.55654501914978,7.2360312938690186
