group,straightness,dev_ratio,peak_mean_v_ratio,time_to_peak_frac,reversals
stock,1.0,1.6148451932987325e-16,1.0000000000000036,0.041666666666666664,0
stock,1.0,1.6251070696419583e-16,1.000000000000005,0.9583333333333334,0
stock,1.0,3.043005547283028e-16,1.0000000000000049,0.20833333333333334,0
stock,1.0,7.970042577665903e-15,1.000000000000027,0.08333333333333333,0
stock,1.0,1.6154409601524728e-16,1.000000000000006,0.9166666666666666,0
stock,1.0,2.238317156403899e-16,1.0000000000000036,0.8333333333333334,0
stock,1.0,3.303264872689226e-16,1.000000000000005,0.7083333333333334,0
stock,1.0,5.3830090731055465e-17,1.0000000000000027,0.7916666666666666,0
stock,1.0,8.956561633993444e-16,1.0000000000000044,0.2916666666666667,0
stock,1.0,0.0,1.0000000000000009,0.20833333333333334,0
stock,1.0,2.4672993679705115e-15,1.000000000000013,0.6666666666666666,0
stock,1.0,6.950729691958054e-17,1.0000000000000018,0.25,0
stock,1.0000000000000002,0.0,1.0000000000000093,0.625,0
stock,0.9999999999999999,2.1919091788077638e-16,1.0000000000000044,0.7916666666666666,0
stock,1.0,0.0,1.0000000000000062,0.5,0
stock,1.0,0.0,1.0000000000000027,0.375,0
stock,1.0,0.0,1.0000000000000133,0.2916666666666667,0
stock,1.0,0.0,1.0000000000000053,0.041666666666666664,0
stock,1.0,0.0,1.0000000000000064,0.9166666666666666,0
stock,1.0,0.0,1.0000000000000042,0.3333333333333333,0
stock,1.0,4.221947509854118e-16,1.0000000000000056,0.4583333333333333,0
stock,1.0,6.701736055257913e-17,1.000000000000002,0.7916666666666666,0
stock,1.0,9.646920020687712e-17,1.0000000000000024,0.25,0
stock,1.0,1.0366129753352047e-16,1.000000000000004,0.7916666666666666,0
stock,1.0,2.3865890618312133e-16,1.000000000000005,0.6666666666666666,0
stock,1.0,1.7260629620125145e-15,1.0000000000000089,0.2916666666666667,0
stock,1.0,3.3325146787585157e-16,1.0000000000000036,0.8333333333333334,0
stock,1.0,1.862511217312044e-16,1.0000000000000038,0.16666666666666666,0
stock,1.0000000000000002,9.605000751264452e-17,1.0000000000000009,0.4583333333333333,0
stock,1.0,1.4181583392063847e-16,1.0000000000000038,0.6666666666666666,0
stock,1.0000000000000002,6.333894168157881e-16,1.0000000000000058,0.6666666666666666,0
stock,1.0,7.146119192779191e-16,1.0000000000000129,0.4583333333333333,0
stock,1.0,1.3495740219870907e-16,1.0000000000000027,0.6666666666666666,0
stock,1.0,0.0,1.0000000000000038,0.20833333333333334,0
stock,1.0,3.249695171362086e-16,1.0000000000000102,0.3333333333333333,0
stock,1.0,2.3409822735592036e-15,1.0000000000000102,0.7916666666666666,0
stock,1.0000000000000002,7.272550600968119e-16,1.0000000000000109,0.16666666666666666,0
stock,1.0,2.2491345658025086e-16,1.0000000000000044,0.25,0
stock,1.0,0.0,1.0000000000000073,0.75,0
stock,1.0,4.851809675012312e-17,1.000000000000008,0.5416666666666666,0
stock,1.0,6.581781720113814e-17,1.000000000000002,0.25,0
stock,1.0,0.0,1.000000000000015,0.5833333333333334,0
stock,1.0,4.4479269958737644e-17,1.0000000000000024,0.625,0
stock,1.0,8.075578100500309e-16,1.0000000000000049,0.5416666666666666,0
stock,1.0,7.000708252570072e-17,1.0000000000000022,0.041666666666666664,0
stock,1.0,9.124574238904417e-17,1.0000000000000036,0.5416666666666666,0
stock,1.0,4.1563623698516027e-17,1.0000000000000036,0.6666666666666666,0
stock,1.0,7.956936196441735e-17,1.0000000000000024,0.375,0
stock,1.0,1.288214573108425e-16,1.0000000000000018,0.20833333333333334,0
stock,1.0,0.0,1.0000000000000102,0.25,0
stock,1.0,1.322605397119272e-16,1.0000000000000033,0.8333333333333334,0
stock,1.0,1.3098140787918402e-16,1.0000000000000042,0.6666666666666666,0
stock,0.9999999999999998,0.0,1.0000000000000033,0.6666666666666666,0
stock,1.0,1.5214248748049195e-16,1.0000000000000029,0.0,0
stock,1.0000000000000002,2.5913873347486887e-16,1.0000000000000049,0.7083333333333334,0
stock,1.0,0.0,1.0000000000000084,0.25,0
stock,1.0,3.5396421849962e-16,1.000000000000003,0.20833333333333334,0
stock,0.9999999999999999,6.474493330204452e-16,1.000000000000008,0.5416666666666666,0
stock,1.0,1.774752294137911e-16,1.0000000000000022,0.2916666666666667,0
stock,1.0000000000000002,3.065199757218743e-16,1.000000000000004,0.08333333333333333,0
human,0.9690035868889584,0.11314589441926497,1.176411609484701,0.0,0
human,0.9633189946070696,0.12102257806110259,1.17030863876308,0.9615384615384616,1
human,0.974426864401728,0.10259036314276722,1.210913256106587,0.9736842105263158,0
human,0.9814563698664625,0.08670763933766272,1.102585077810017,0.9090909090909091,0
human,0.9573217944868695,0.13071573849675155,1.0981518747514485,0.972972972972973,0
human,0.971617809971846,0.1026430612152284,1.0447118344770017,0.4838709677419355,1
human,0.9744617753122116,0.0955110088114023,1.1675793297822867,0.9444444444444444,1
human,0.9565626734998812,0.12636578292672487,1.0884242907884802,0.26785714285714285,0
human,0.9727854001711556,0.10519659731134849,1.1066298542569133,0.0,1
human,0.9855713226936205,0.07583510280808338,1.1876928935733557,0.9787234042553191,0
human,0.9699925100013926,0.10740233359526713,1.030867865820757,0.8181818181818182,1
human,0.9747712018575903,0.10257716976750238,1.2437132774157817,0.9878048780487805,0
human,0.9798254545018339,0.08586900519220937,1.0588201278484308,0.25,0
human,0.9712913859112473,0.10427922664600245,1.101086504024818,0.0,0
human,0.9592196688882559,0.12715462994429677,1.1777500305764068,0.0,0
human,0.9652517892660974,0.11081257696093641,1.0934405175362858,0.47058823529411764,0
human,0.9599935007396508,0.12073686701023723,1.0722069977044288,0.5384615384615384,0
