budget,n,pass_rate,task_success_rate,n_browser_runs,parse_rate,mean_state_count,statecount_stability,mean_jaccard,reasoning_tok_mean,reasoning_measured,output_tok_mean,input_tok_mean,latency_mean,latency_median,latency_p95
0,36,1.0,,0,1.0,3.75,1.0,0.8930555555555556,,False,352.56944444444446,1061.75,1.8674863510661655,1.8693594932556152,2.4360976219177246
512,36,1.0,,0,1.0,3.75,1.0,0.6253968253968254,467.3888888888889,True,843.2083333333334,1061.75,4.295780513021681,4.291795372962952,4.900634765625
2048,36,1.0,,0,1.0,3.638888888888889,0.75,0.5954365079365079,1117.6944444444443,True,1485.75,1061.75,7.2413773205545215,7.306148648262024,9.718286514282227
dynamic,36,1.0,,0,1.0,3.7222222222222223,0.9166666666666666,0.49702380952380953,1282.875,True,1669.263888888889,1061.75,7.627746866808997,7.146936058998108,12.866281032562256
